"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"SHIRPUR","2","28","2622","242","2280","130","2574","72","6","13","555","2084","6","2646","0","2648","4"
"SHINDKHEDE","2","66","3481","391","3064","94","3457","89","3","3","639","2907","4","3545","2","3546","1"
"DHULE","1","67","3130","378","2748","73","3125","70","4","10","493","2696","8","3191","0","3198","1"
"SAKRI","0","30","3233","234","2938","91","3202","50","11","4","507","2752","4","3259","0","3261","1"
