"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"SAILU","0","49","1304","0","816","537","1349","2","4","0","0","1348","0","1346","4","1342","0"
"MANWAT","1","37","1550","0","1006","585","1587","1","3","1","4","1578","0","1581","7","1566","4"
"PURNA","2","22","1429","1","991","461","1449","3","3","0","1","1450","0","1449","5","1440","0"
"PARBHANI","1","107","1793","1","1153","751","1901","1","3","0","3","1894","0","1892","2","1881","3"
"PATHRI","3","72","1453","1","1017","512","1529","1","2","1","0","1520","2","1515","3","1479","26"
"SONPETH","0","76","1322","1","854","544","1393","2","4","0","2","1396","0","1397","3","1369","24"
"JINTUR","2","147","1417","3","896","668","1560","7","0","2","5","1556","1","1556","2","1548","5"
"PALAM","2","134","1304","1","967","473","1439","2","1","1","1","1437","0","1437","21","1406","7"
"GANGAKHED","4","58","1031","0","625","468","1090","2","1","1","0","1091","0","1092","7","1080","2"
