"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"TALASARI","1","33","808","723","47","74","0","165","679","661","180","3","2","842","69","761","14"
"VIKRAMGAD","30","39","728","701","95","9","0","11","794","592","128","85","0","805","110","694","1"
"JAWHAR","0","22","784","691","78","37","8","237","561","796","5","5","7","798","84","722","0"
"DAHANU","0","4","837","713","5","123","1","44","796","711","4","126","19","822","42","798","1"
"PALGHAR","0","10","565","481","85","9","123","20","428","328","38","209","5","570","8","556","11"
"VASAI","3","55","136","194","0","0","35","151","8","190","4","0","2","192","0","194","0"
