"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"MALVAN","1","297","787","593","366","126","824","257","5","1064","14","7","1","1082","749","329","0"
"KUDAL","2","218","1368","539","696","354","1323","256","12","1502","67","15","1","1581","935","639","1"
"DEOGAD","1","345","611","248","476","234","903","41","14","943","1","12","2","953","528","427","0"
"SAWANTWADI","1","275","687","169","483","311","883","77","4","902","57","4","2","961","738","224","1"
"DODAMARG","1","29","220","121","101","28","184","63","3","248","2","0","2","248","207","43","0"
"KANKAVALI","0","169","949","298","567","255","856","248","17","1070","39","8","5","1110","548","558","4"
"VAIBHAVAWADI","1","203","356","152","309","100","552","4","5","543","15","1","1","557","281","272","0"
"VENGURLA","1","53","308","48","187","127","236","124","2","357","0","1","0","352","182","165","0"
