"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"SHAHUWADI","0","34","51","80","5","0","11","67","7","62","15","8","0","85","49","36","0"
"KARVEER","2","325","515","831","11","0","179","552","111","567","170","105","27","815","58","784","0"
"CHANDGAD","10","481","359","848","2","0","504","305","41","744","92","14","0","850","451","399","0"
"GADHINGLAJ","14","391","436","778","39","24","450","371","20","632","188","21","0","841","160","681","0"
"BHUDARGAD","1","559","277","806","30","1","618","216","3","725","104","8","1","836","520","316","1"
"KAGAL","0","24","144","162","6","0","36","124","8","81","45","42","1","167","1","167","0"
