"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"AKOLA","1","3","1320","945","324","55","1256","64","4","16","93","1214","0","1324","0","1270","54"
"BARSHITAKLI","0","5","1855","1236","567","57","1583","246","31","15","161","1684","8","1852","0","1850","10"
"MURTIJAPUR","0","0","348","225","117","6","267","51","30","0","34","314","10","338","0","348","0"
"PATUR","1","7","978","651","316","19","780","206","0","10","156","820","18","968","0","982","4"
"TELHARA","1","5","939","667","257","21","830","97","18","15","102","828","1","944","0","885","60"
"BALAPUR","1","0","1339","1034","282","24","1151","187","2","7","211","1121","14","1325","0","1222","117"
"AKOT","0","1","731","405","304","23","471","260","1","2","101","628","0","732","0","647","85"
