"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"MANORA","2","258","1193","51","463","939","1266","183","4","915","330","208","1","1452","13","1439","1"
"RISOD","12","320","1586","144","1051","723","1359","555","4","902","438","578","10","1908","6","1873","39"
"MALEGAON","10","182","1997","61","1155","973","1665","461","63","1121","661","407","6","2183","1","2179","8"
"MANGRULPIR","18","619","1414","17","1248","786","1658","386","7","1004","561","486","1","2050","1","1990","60"
"WASHIM","8","123","1636","108","843","816","1288","468","11","693","455","619","1","1766","1","1747","19"
"KARANJA","2","165","1420","65","942","580","1070","517","0","711","255","621","0","1587","0","1575","12"
