"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"OMERGA","4","23","1938","51","256","1658","1581","375","9","12","199","1753","0","1964","0","1961","3"
"PARANDA","1","22","1177","76","62","1062","1004","190","6","15","113","1072","0","1200","2","1196","2"
"KALAMB","0","8","1991","11","270","1719","1574","415","11","11","239","1750","0","2000","0","1988","12"
"OSMANABAD","0","31","2420","49","411","1993","2007","433","13","9","435","2008","1","2451","1","2430","22"
"TULJAPUR","3","243","2235","1454","52","975","1749","688","44","209","616","1654","1","2475","5","2467","3"
"BHOOM","0","26","1535","29","194","1339","1263","287","12","6","171","1384","0","1561","1","1543","17"
"WASHI","0","22","1527","46","156","1347","1242","295","12","13","197","1338","3","1546","0","1541","5"
"LOHARA","1","11","1527","40","113","1388","1220","302","20","12","171","1356","0","1539","0","1527","12"
