"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"TALODA","0","457","1025","7","1475","0","63","1411","8","24","766","692","1","1481","0","1482","0"
"AKKALKUWA","0","334","1111","10","1435","0","95","1343","7","10","684","751","10","1435","0","1443","2"
"NAVAPUR","0","354","1095","16","1434","0","96","1329","25","20","698","731","18","1430","0","1442","6"
"NANDURBAR","0","315","1214","9","1517","3","120","1406","3","51","693","785","0","1529","0","1527","0"
"SHAHADA","0","140","646","34","750","2","34","751","1","20","447","319","21","765","0","786","0"
"AKARANI","0","319","1020","10","1328","1","74","1255","10","41","731","567","9","1330","0","1339","0"
