"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"SANGMESHWAR","15","235","590","350","134","356","690","150","0","786","22","32","0","840","88","752","0"
"LANJA","38","504","767","562","335","412","1018","275","16","1226","36","47","1","1308","59","1248","2"
"GUHAGAR","19","500","321","97","430","313","564","228","48","766","46","28","1","839","24","814","2"
"DAPOLI","65","544","231","113","508","219","531","266","43","824","16","0","0","840","11","829","0"
"MANDANGAD","120","60","60","67","147","26","238","2","0","240","0","0","0","240","0","240","0"
"RAJAPUR","36","293","511","578","251","11","757","79","4","836","4","0","0","840","65","775","0"
"RATNAGIRI","9","186","645","533","276","31","456","258","126","730","81","29","0","840","7","833","0"
"CHIPALUN","44","462","330","356","468","12","552","268","16","834","0","2","0","836","0","836","0"
"KHED","59","509","272","632","203","5","689","150","1","840","0","0","0","840","37","803","0"
