"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"HINGOLI","0","1217","907","2","1744","378","1576","543","5","9","580","1535","1","2123","0","2124","0"
"BASMAT","0","1380","1115","2","2055","438","1854","641","0","6","647","1842","0","2495","0","2495","0"
"SENGAON","2","1049","944","14","1620","361","1286","709","0","5","474","1517","0","1996","0","1996","0"
"AUNDHA NAGNATH","5","950","876","8","1534","289","1324","507","0","8","434","1389","0","1831","0","1831","0"
"KALAMNURI","5","1061","983","2","1701","346","1507","542","0","10","484","1555","0","2049","1","2048","0"
