"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"MIRAJ","1","13","1404","499","821","98","1082","310","26","672","326","420","26","1392","0","1153","265"
"KHANAPUR-VITA","0","0","898","190","591","117","442","424","32","389","333","176","7","891","0","425","473"
"VALVA-ISLAMPUR","0","19","997","389","609","18","778","232","6","480","397","139","37","979","0","958","58"
"ATPADI","0","59","1318","498","797","82","359","866","152","226","470","680","27","1350","0","604","773"
"JATH","0","19","1551","433","931","206","825","612","133","201","483","886","16","1554","0","1349","221"
"PALUS","0","32","888","139","749","32","574","346","0","393","307","220","21","899","1","706","213"
"KAVATHEMAHANKAL","0","1","915","213","691","12","503","413","0","199","366","351","1","915","0","734","182"
"SHIRALA","0","27","1083","342","763","5","614","496","0","213","492","405","0","1110","0","1108","2"
"TASGAON","0","24","871","332","556","7","553","253","89","230","228","437","18","877","0","852","43"
