"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"PARTUR","0","0","1744","38","1428","278","1585","159","0","2","134","1608","1","1743","1","1701","41"
"BHOKARDAN","0","0","1","0","1","0","1","0","0","0","0","1","0","1","0","0","1"
"BADNAPUR","0","1","1661","76","1331","255","1515","146","1","4","208","1449","0","1662","0","1636","26"
"AMBAD","0","0","1","0","1","0","1","0","0","0","0","1","0","1","0","1","0"
"JALNA","1","114","1676","221","1248","322","1785","6","0","86","395","1310","13","1778","0","1751","40"
"GHANSAWANGI","0","125","1696","294","1188","339","1815","6","0","105","418","1298","6","1815","0","1800","21"
"MANTHA","0","1","1203","28","1012","164","1019","183","2","2","109","1093","0","1204","1","1187","16"
"JAFRABAD","0","287","1726","177","792","1044","2007","6","0","0","585","1428","0","2013","0","1958","55"
