"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"AMBERNATH","1","164","861","541","311","174","645","304","76","786","143","95","0","1026","2","1024","0"
"BHIWANDI","24","64","1492","857","318","405","380","608","592","782","344","454","0","1578","0","1580","0"
"SHAHAPUR","2","74","1620","938","328","430","979","535","182","1046","218","432","0","1696","1","1695","0"
"KALYAN","4","27","909","512","256","171","490","366","84","516","196","227","0","940","1","939","0"
"MURBAD","13","91","1396","1206","150","144","850","547","103","1038","172","290","0","1500","0","1500","0"
