"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"WARDHA","3","328","899","353","339","541","1082","147","4","19","172","1037","0","1222","0","1221","1"
"DEOLI","4","303","806","314","264","535","1050","61","2","28","114","971","1","1111","0","1112","0"
"KARANJA","3","306","1091","558","294","548","1114","279","7","19","138","1242","0","1399","0","1398","1"
"ARVI","2","533","605","191","530","420","1108","32","1","13","318","808","0","1138","0","1136","2"
"ASHTI","1","224","565","200","308","282","743","45","2","13","155","622","0","789","0","789","1"
"HINGANGHAT","1","388","1174","576","419","567","1521","40","2","17","230","1316","0","1563","0","1550","13"
"SAMUDRAPUR","2","306","622","199","333","398","858","72","0","16","182","732","0","928","0","928","1"
"SELOO","1","284","953","356","347","534","1115","109","14","19","147","1072","0","1235","1","1234","0"
