"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"BHANDARA","0","64","1476","23","761","756","1006","533","1","386","344","810","1","1539","48","1492","0"
"LAKHANI","10","27","1193","1","540","689","856","372","2","301","370","559","0","1230","138","1092","0"
"SAKOLI","0","90","1100","0","500","690","613","573","4","376","339","475","0","1190","197","993","0"
"MOHADI","0","69","1101","5","369","795","897","258","15","300","287","583","0","1170","67","1103","0"
"LAKHANDUR","0","40","1292","2","512","818","992","327","13","350","425","557","0","1332","20","1311","1"
"PAUNI","0","63","1157","0","557","663","960","259","1","387","246","587","0","1220","28","1191","1"
"TUMSAR","0","119","1190","8","408","893","832","365","112","282","414","613","0","1309","66","1242","1"
